country_name,0,1,2,3,4,5,6,7,age,gender,accuracy,source,elapsed
Argentina,0.140138543801,0.235870666253,0.121861620568,0.24557556358,0.108969932129,0.127840812737,0.148005815414,0.0788193699544,25.7741935484,1.64516129032,88.5161290323,2.33870967742,1020.51612903
Australia,0.153091068892,0.176819976434,0.147779093498,0.200267572132,0.121134343673,0.13842406362,0.131291757401,0.117900233096,26.681622088,1.65832614323,88.2251941329,3.2670405522,2454.66177739
Austria,0.154606344505,0.166554051506,0.115729594995,0.280197480478,0.124122775593,0.10392455766,0.15000113989,0.0831118158852,25.8771929825,1.49122807018,86.8947368421,2.0350877193,822.929824561
Belgium,0.121244139072,0.182494466302,0.153343094715,0.266909490847,0.120241690035,0.113519506318,0.152121986746,0.0920740801004,27.8235294118,1.43529411765,84.4823529412,2.17647058824,2399.50588235
Brazil,0.110170368255,0.234084945272,0.137779797774,0.320406550591,0.12032728812,0.0969509380255,0.130933695892,0.0790789250184,23.6818181818,1.48701298701,86.7337662338,2.13636363636,1358.69480519
Bulgaria,0.130840577767,0.197060021827,0.155463288023,0.278849147951,0.111631954923,0.113450248517,0.14259171262,0.0849682744783,26.4032258065,1.5,88.1935483871,2.38709677419,1615.66129032
Canada,0.173158268988,0.17084462183,0.123006066953,0.202595108113,0.126348142856,0.146059927102,0.129949691841,0.110052673712,31.8512396694,1.58760330579,88.5880165289,2.29834710744,1508.89421488
China,0.154441584593,0.16889792644,0.167324838986,0.173845062624,0.175915404731,0.138506206565,0.128358898796,0.0790611487727,23.2671755725,1.53435114504,86.8320610687,3.80152671756,2824.35877863
Colombia,0.183167017288,0.163118994768,0.115085669196,0.212468718629,0.155212476087,0.134672164437,0.141182558176,0.0592613762964,26.14,1.36,86.62,2.12,2540.24
Croatia,0.184362728968,0.166820082966,0.132415958857,0.218641334885,0.143285472036,0.115317009073,0.138830457292,0.0707727526749,25.2941176471,1.52100840336,86.9411764706,2.10084033613,1376.06722689
Czech Republic,0.117458305727,0.187964526185,0.124593721373,0.300428973306,0.145062042479,0.122746878884,0.148004584964,0.0811006064805,25.2328767123,1.53424657534,83.8356164384,2.20547945205,2892.30136986
Denmark,0.163797624722,0.160190239511,0.141427811669,0.252739536054,0.107990215037,0.114497291827,0.139250526268,0.103669177704,27.452173913,1.48695652174,87.3130434783,2.2347826087,4982.20869565
Ecuador,0.202417752393,0.137934390186,0.150658572631,0.138213913243,0.202620333705,0.135412172528,0.122097007397,0.0588765139917,17.4653465347,1.38613861386,100.475247525,5.21782178218,1972.02970297
Europe,0.191309924986,0.124016131952,0.140198597943,0.208218638097,0.162093931343,0.13621149601,0.132164536162,0.081851991028,31.2881355932,1.4406779661,87.4576271186,2.20338983051,2567.37288136
Finland,0.13273491653,0.181527738425,0.151517791201,0.221264938745,0.128704866336,0.107380070718,0.151066477173,0.101357391316,23.2111111111,1.63703703704,85.3037037037,2.78518518519,1438.24074074
France,0.135576864967,0.195658315276,0.141461212633,0.260578978,0.130546191113,0.0960838141206,0.144469703853,0.0886800614598,25.6666666667,1.6091954023,86.5708812261,2.70881226054,2344.12260536
Germany,0.151761336153,0.17005514395,0.125990737684,0.249399508425,0.125651585871,0.119380906985,0.148551181322,0.0924636441888,26.4772036474,1.51063829787,86.4589665653,2.34042553191,4276.28571429
Greece,0.173617657513,0.168844499051,0.158314769093,0.207759620334,0.126816325724,0.136145693178,0.129839725176,0.0681393098731,28.1195652174,1.57608695652,87.402173913,2.28804347826,1305.63586957
Honduras,0.206771753729,0.154378210049,0.203795573947,0.148999430254,0.162221063985,0.130748890308,0.0924356957535,0.085834530901,17.2127659574,1.59574468085,89.1276595745,5.70212765957,1795.14893617
Hong Kong,0.121502612268,0.185712465417,0.160759756432,0.145581951564,0.171752633056,0.174219430085,0.134682997937,0.0971659083021,27.5170731707,1.69756097561,82.3756097561,3.90731707317,1668.61463415
Hungary,0.132682038501,0.20163468807,0.127860545356,0.261224731277,0.104577741253,0.123983486335,0.151624353024,0.0804973534715,27.5,1.58333333333,85.2291666667,2.0,1483.3125
India,0.186630222636,0.166552660507,0.179149110862,0.137668050299,0.185505686017,0.145147817984,0.118914503806,0.0698374641553,28.8947963801,1.47586726998,88.5520361991,3.04562594268,1859.82202112
Indonesia,0.136421775526,0.186529798891,0.169853700813,0.192408357381,0.194510111004,0.134369375099,0.124162639892,0.0857044870755,21.7975077882,1.65109034268,84.0249221184,2.42990654206,1947.46728972
Ireland,0.172672990345,0.159002701212,0.136858776244,0.197568383783,0.115892854022,0.152559813585,0.132302161606,0.10623276605,29.0356164384,1.5095890411,87.597260274,1.92876712329,1206.69589041
Israel,0.147601031573,0.188570189338,0.128578601637,0.229066406765,0.112862071181,0.131999157152,0.152494510267,0.0864775390292,24.3225806452,1.59677419355,89.0806451613,2.41935483871,2490.59677419
Italy,0.144864777286,0.202430652673,0.127825339665,0.236204354197,0.154640960363,0.121221725314,0.120527082553,0.0748540604375,28.28125,1.48660714286,84.9866071429,2.20535714286,1428.50446429
Japan,0.136623064951,0.172448300414,0.154538770277,0.239026498714,0.135870964757,0.132713016606,0.136705560122,0.102680455817,26.5531914894,1.46808510638,86.7234042553,3.14893617021,8143.34042553
"Korea, Republic of",0.115888355154,0.178390313591,0.171278096667,0.168648417599,0.175802252535,0.144403881989,0.136076677344,0.0898403381889,25.3623188406,1.59420289855,83.8260869565,2.47826086957,1391.10144928
Malaysia,0.118502092935,0.203117892085,0.196662310382,0.15942735608,0.202626977264,0.138551947721,0.110790285924,0.09897983212,24.1174863388,1.70491803279,82.781420765,2.63114754098,1155.34699454
Mexico,0.169393307974,0.173939543623,0.159510740072,0.188390537841,0.159427758202,0.142984829195,0.133472417607,0.0748343270137,23.4147465438,1.58986175115,89.6175115207,2.96313364055,1571.97695853
Netherlands,0.157290170556,0.172296875866,0.12924741883,0.232677234022,0.12099759329,0.131098396563,0.151344815583,0.0822345728835,30.4819277108,1.51004016064,86.2851405622,2.3734939759,1255.34939759
New Zealand,0.138689348371,0.187269816491,0.143882289352,0.227046034555,0.117274181382,0.131430956074,0.132834198019,0.123074661177,112.010714286,1.55,88.8535714286,2.35357142857,1274.56785714
Norway,0.179387674744,0.145792038908,0.13197482163,0.209992343649,0.109958348406,0.135413952661,0.149357486968,0.107933915488,27.8571428571,1.52380952381,85.2337662338,1.88744588745,1239.58441558
Pakistan,0.183019341118,0.198730284176,0.175639668184,0.144755298698,0.189005541244,0.144212946607,0.101835738673,0.0690167582719,23.6224489796,1.67857142857,88.5357142857,2.00510204082,1143.30612245
Philippines,0.165496203769,0.190003831814,0.176551181017,0.139008107488,0.188074894953,0.146795103603,0.12034974762,0.089924152054,20.9253567508,1.70362239297,89.4193194292,2.94950603732,2226.83315038
Poland,0.123583492774,0.194289093223,0.14299596492,0.300360245186,0.121266839862,0.108449185792,0.129896408065,0.0888333819545,23.8520710059,1.53846153846,85.0118343195,2.4201183432,1011.15976331
Portugal,0.152019954421,0.208012818865,0.133572915895,0.251817534715,0.127905364786,0.116800512805,0.121941772153,0.0900093464314,25.0416666667,1.55555555556,87.5555555556,1.95833333333,1052.83333333
Romania,0.152669609974,0.196293166733,0.152720681696,0.249099780851,0.140792188104,0.112970106816,0.121812513074,0.0723206747877,24.8864864865,1.61621621622,86.8918918919,1.76216216216,1520.05405405
Russian Federation,0.129428711277,0.20193599725,0.144319393518,0.279302726618,0.108294541862,0.116893328799,0.143585421813,0.0817096611578,24.0701754386,1.47368421053,85.5614035088,2.73684210526,1394.38596491
Saudi Arabia,0.138396162704,0.217050275041,0.147504130528,0.22692617448,0.187014909828,0.117759796896,0.125261461857,0.0628420404864,25.8225806452,1.48387096774,87.935483871,2.53225806452,33151.6774194
Serbia,0.150758291788,0.184657536354,0.150462094561,0.249082763751,0.130382505418,0.12150376183,0.137810172407,0.0763093211384,24.7356321839,1.58620689655,86.4712643678,2.26436781609,1138.97701149
Singapore,0.128312910647,0.194833305093,0.172379406941,0.206933394151,0.141952363446,0.135284075652,0.130634020512,0.105191399362,23.7372093023,1.65581395349,84.2372093023,2.32325581395,3537.64883721
Slovakia,0.128620519909,0.225698875803,0.142118601162,0.23154601556,0.133015485657,0.110997284273,0.150536109528,0.0741703803317,24.6666666667,1.61904761905,85.5238095238,1.7619047619,1397.02380952
Slovenia,0.148349580038,0.187558487826,0.161180952001,0.2470133899,0.130387848063,0.107327970756,0.139300259228,0.0710120173379,24.92,1.58,85.26,2.3,1668.3
South Africa,0.177272061086,0.174434514273,0.144189186036,0.197338575969,0.128095446021,0.162041145728,0.1289369044,0.0772560983205,36.7639751553,1.58385093168,89.201863354,1.91614906832,3041.99378882
Spain,0.164267101294,0.184020426047,0.14028832975,0.208283236571,0.127087759015,0.115982728859,0.149832601462,0.0893573288907,27.575,1.5125,85.3625,2.7375,1644.68125
Sweden,0.173261815444,0.154522846391,0.131909165976,0.223880970377,0.116530158449,0.123722548294,0.14992200995,0.0940995856789,27.8781163435,1.50415512465,84.6288088643,2.68698060942,3589.68698061
Switzerland,0.18316740818,0.143154389162,0.153458060245,0.210247196728,0.117822451799,0.132715102661,0.149675329949,0.0859517619102,31.6621621622,1.44594594595,83.1081081081,2.77027027027,1375.47297297
Thailand,0.136194127094,0.164561248532,0.17909141261,0.180486435384,0.18744706968,0.137472010836,0.134614546467,0.0927043977232,23.7962962963,1.44444444444,83.1018518519,2.84259259259,1610.2037037
Turkey,0.174387713363,0.163847946376,0.157029615938,0.212381612166,0.14574680016,0.144136787394,0.126724019597,0.0648891727692,27.173553719,1.42975206612,86.5619834711,2.1652892562,1487.23966942
United Arab Emirates,0.181666049236,0.170651081358,0.180863086022,0.149964263032,0.16068357627,0.142243185535,0.115650628444,0.0950595635845,37.345,1.59,91.89,3.155,2310.2
United Kingdom,0.156297654074,0.153040805156,0.17021380331,0.204134719668,0.125844997081,0.134724735425,0.109713479298,0.127419140169,33.7316112084,1.52605078809,88.2136602452,2.63507005254,1619.01379159
United States,0.165072334065,0.177605473455,0.143792684576,0.209113744582,0.118846110761,0.140606954582,0.124909041336,0.108395868072,98735.0705093,1.64092664093,103399.030888,3.02840595698,2694.00703254
